iter	Logloss
0	0.6896673094
1	0.6856213018
2	0.6822319304
3	0.6789983913
4	0.6758035272
5	0.6720415871
6	0.6686004387
7	0.6654219088
8	0.6617883634
9	0.6587278143
10	0.6563213086
11	0.6535501545
12	0.6508567055
13	0.6487500767
14	0.6470686787
15	0.6444139853
16	0.6418221611
17	0.6400107232
18	0.6377381828
19	0.6360294057
20	0.6337600181
21	0.6314612066
22	0.6292990757
23	0.6274658995
24	0.6255673595
25	0.6240835157
26	0.6226012106
27	0.6209991636
28	0.6193797757
29	0.6181932175
30	0.6166106016
31	0.6160236028
32	0.6149958573
33	0.6132984161
34	0.6123210669
35	0.6109496125
36	0.609525332
37	0.6085013395
38	0.6072690136
39	0.6060687469
40	0.605142444
41	0.6040989601
42	0.6031118424
43	0.6024369051
44	0.6015689886
45	0.6008081685
46	0.600179406
47	0.5993707003
48	0.5987443108
49	0.5978083024
50	0.5971736488
51	0.5970699583
52	0.5962485464
53	0.5961148341
54	0.5955493913
55	0.594730715
56	0.5940300178
57	0.5932820931
58	0.592825665
59	0.5918810728
60	0.5910683804
61	0.5903550194
62	0.5895695823
63	0.5888154846
64	0.5884105995
65	0.5877706184
66	0.5872784258
67	0.586669967
68	0.5857956291
69	0.5852712743
70	0.584834136
71	0.584349776
72	0.5837765439
73	0.5832842928
74	0.5825799106
75	0.5822511305
76	0.5813047876
77	0.5806674117
78	0.5799994641
79	0.5793365162
80	0.578752489
81	0.5781761038
82	0.577624611
83	0.5769354018
84	0.5764584537
85	0.575935504
86	0.5756148442
87	0.5754208644
88	0.574787144
89	0.5741546103
90	0.5737380212
91	0.5733794512
92	0.5728798837
93	0.5726321347
94	0.5720310954
95	0.5714452247
96	0.5708003017
97	0.570414619
98	0.5698362613
99	0.5693694177
100	0.5690798514
101	0.5688002674
102	0.5683908268
103	0.5680100863
104	0.5668014804
105	0.5664339063
106	0.5661267954
107	0.5654015485
108	0.5648826229
109	0.5646397558
110	0.5644727041
111	0.5641287924
112	0.5638233746
113	0.563374466
114	0.5631740509
115	0.5625583525
