iter	Passed	Remaining
0	5	998
1	10	1036
2	15	1029
3	20	1019
4	25	989
5	30	981
6	35	967
7	39	957
8	45	956
9	50	954
10	54	944
11	59	931
12	64	934
13	70	933
14	74	923
15	79	912
16	83	904
17	89	900
18	93	894
19	98	886
20	103	878
21	107	867
22	111	860
23	116	853
24	121	847
25	125	841
26	130	836
27	135	830
28	139	822
29	145	822
30	149	815
31	152	800
32	157	796
33	162	792
34	166	787
35	171	780
36	175	774
37	181	771
38	186	768
39	190	762
40	195	757
41	200	754
42	205	750
43	210	745
44	214	740
45	219	735
46	224	729
47	228	724
48	233	718
49	238	714
50	242	709
51	245	697
52	249	693
53	252	682
54	256	677
55	261	672
56	266	668
57	270	662
58	275	657
59	280	653
60	284	648
61	288	642
62	293	638
63	298	633
64	303	629
65	307	624
66	312	619
67	316	614
68	321	610
69	326	606
70	331	601
71	335	596
72	340	592
73	344	587
74	349	582
75	353	577
76	358	573
77	363	567
78	368	563
79	372	559
80	377	555
81	382	550
82	387	545
83	391	541
84	396	536
85	401	532
86	405	527
87	410	522
88	415	518
89	420	513
90	424	508
91	428	503
92	433	499
93	438	494
94	442	489
95	447	484
96	451	479
97	456	474
98	461	471
99	466	466
100	471	462
101	476	457
102	480	452
103	485	447
104	489	443
105	494	438
106	498	433
107	503	429
108	509	425
109	513	420
110	518	415
111	522	410
112	527	406
113	532	401
114	537	396
115	542	392
