iter	Passed	Remaining
0	4	1369
1	9	1358
2	14	1394
3	19	1432
4	24	1423
5	29	1428
6	33	1416
7	38	1420
8	43	1404
9	47	1372
10	52	1378
11	56	1360
12	60	1338
13	65	1335
14	70	1334
15	74	1316
16	78	1299
17	82	1299
18	87	1292
19	91	1283
20	96	1277
21	101	1276
22	105	1265
23	109	1256
24	113	1244
25	117	1239
26	121	1230
27	125	1220
28	130	1216
29	135	1217
30	139	1207
31	143	1199
32	148	1198
33	152	1194
34	157	1188
35	162	1189
36	166	1186
37	171	1180
38	175	1172
39	179	1168
40	184	1167
41	188	1159
42	192	1151
43	195	1135
44	199	1132
45	204	1126
46	207	1118
47	212	1114
48	217	1112
49	221	1106
50	225	1100
51	229	1095
52	233	1087
53	237	1081
54	240	1072
55	245	1068
56	250	1066
57	254	1060
58	257	1053
59	262	1049
60	267	1047
61	271	1042
62	275	1037
63	280	1034
64	284	1029
65	288	1023
66	293	1020
67	297	1016
68	302	1011
69	306	1006
70	310	1002
71	315	1000
72	319	993
73	323	987
74	328	984
75	333	982
76	337	976
77	339	966
78	343	960
79	348	958
80	352	954
81	357	949
82	360	941
83	364	938
84	368	932
85	372	926
86	376	922
87	381	919
88	385	914
89	389	909
90	394	906
91	399	902
92	403	897
93	407	892
94	411	887
95	415	883
96	420	880
97	424	875
98	428	870
99	433	866
100	436	860
